,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,90,US,1540104840,70,42.65,-73.75,46.4,9.17
1,Jamestown,0,AU,1540105822,29,-33.21,138.6,74.05,6.93
2,Chokurdakh,20,RU,1540105836,76,70.62,147.9,11.95,11.07
3,Ellensburg,1,US,1540104900,75,47.0,-120.55,46.4,2.46
4,Hasaki,20,JP,1540103400,42,35.73,140.83,68.0,9.17
5,Tasiilaq,0,GL,1540104600,54,65.61,-37.64,28.4,16.11
6,Kaitangata,68,NZ,1540105814,67,-46.28,169.85,64.78,6.38
7,Yellowknife,90,CA,1540101600,95,62.45,-114.38,33.8,16.11
8,Hurricane,1,US,1540104960,45,37.18,-113.29,64.4,5.82
9,Georgetown,32,GY,1540105757,92,6.8,-58.16,77.98,5.17
10,Lucapa,36,AO,1540105987,89,-8.42,20.74,74.27,4.14
11,Lincoln,20,GB,1540104600,100,53.23,-0.54,50.0,11.41
12,Kirakira,68,SB,1540105988,100,-10.46,161.92,80.35,1.9
13,Wanning,75,AT,1540102800,81,48.64,13.53,46.4,2.24
14,Cherskiy,88,RU,1540105878,88,68.75,161.3,11.86,4.92
15,Saint-Philippe,40,CA,1540104900,76,45.36,-73.48,39.2,5.82
16,Hermanus,8,ZA,1540105830,42,-34.42,19.24,60.1,9.06
17,Brae,92,GB,1540104600,76,60.4,-1.35,50.0,21.92
18,Ippy,0,CF,1540105990,85,6.26,21.2,75.17,6.26
19,Rikitea,24,PF,1540105809,94,-23.12,-134.97,75.8,9.95
20,Mataura,8,NZ,1540105820,69,-46.19,168.86,65.81,7.38
21,Ilulissat,48,GL,1540104600,67,69.22,-51.1,17.6,19.46
22,Ushuaia,90,AR,1540101600,80,-54.81,-68.31,35.6,6.93
23,Castro,92,CL,1540105860,100,-42.48,-73.76,45.56,9.4
24,Jiuquan,0,CN,1540105991,50,39.73,98.49,42.23,6.6
25,Bredasdorp,0,ZA,1540101600,51,-34.53,20.04,60.8,21.92
26,Vaini,8,IN,1540105847,51,15.34,74.49,88.31,3.02
27,Qaanaaq,0,GL,1540105862,100,77.48,-69.36,2.5,15.21
28,Honningsvag,92,NO,1540105900,100,70.98,25.97,38.27,23.94
29,Portland,1,US,1540104960,87,45.52,-122.67,50.0,5.82
30,Suntar,44,RU,1540105893,65,62.16,117.65,33.46,5.03
31,Newport,40,GB,1540104600,100,51.59,-3.0,51.8,9.17
32,Torbay,90,CA,1540101600,87,47.66,-52.73,51.8,29.97
33,Along,24,IN,1540105994,50,28.17,94.8,74.5,1.9
34,Fenoarivo,40,MG,1540103400,50,-18.93,47.44,77.0,12.75
35,Sorong,24,ID,1540105838,100,-0.86,131.25,83.0,10.4
36,Bethel,1,US,1540101180,93,60.79,-161.76,35.6,16.11
37,Piacabucu,0,BR,1540105995,91,-10.41,-36.43,73.28,10.07
